"Metric","Value (USD)","Value (OMR)","Notes"
"Total Invoiced Spend (Anthropic Platform)","$383.53","147.66 OMR","Official billed API cost (July 1 - August 1)"
"Total Conversations Handled","5960","5960 محادثة","99% WhatsApp, 1% Website"
"Total Messages Processed","105128","105128 رسالة","Customer + Bot + NetSuite PMS Lookups"
"Qualified Booking Leads Captured","441","441 طلب حجز","Leads with dates & contact info"
"Average Cost per Conversation","$0.064","0.0246 OMR","~25 Baizas per customer conversation"
"Average Messages per Conversation","17.6","17.6 رسالة","17.6 messages per interaction"
"Average Cost per Message","$0.0036","0.0014 OMR","~1.4 Baizas per message"
"Average Cost per Qualified Lead","$0.87","0.335 OMR","~330 Baizas per lead"
"Estimated Human Labor Equivalent","$6794.40","2615.84 OMR","Based on 3.5 OMR/hr agent rate"
"Net Financial Savings","+$6410.87","+2468.18 OMR","Direct savings vs human staffing"
"Return on Investment (ROI)","+1671%","+1671%","17.7x cost advantage"
